2024-04-20 15:47:52.692 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarting |  | Starting SimpleSpringLoggingApplication using Java 22 with PID 19476 (/Users/fajrarisqulla/boilerplate-java/boiler-plates/simple-spring-logging/target/classes started by fajrarisqulla in /Users/fajrarisqulla/boilerplate-java/boiler-plates)
2024-04-20 15:47:52.694 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-20 15:47:53.461 | simple-spring-logging | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-04-20 15:47:53.467 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarted |  | Started SimpleSpringLoggingApplication in 1.082 seconds (process running for 1.516)
2024-04-20 15:47:59.264 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | 3cf785b0-ddf3-4e3a-9d0e-7c9675ed5c35 | greeting fajra
2024-04-20 15:47:59.265 | simple-spring-logging | t.it.simplespringlogging.domain.services.GreetingServiceImpl | doGreeting | 3cf785b0-ddf3-4e3a-9d0e-7c9675ed5c35 | greeting fajra
2024-04-20 15:47:59.265 | simple-spring-logging | t.it.simplespringlogging.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 3cf785b0-ddf3-4e3a-9d0e-7c9675ed5c35 | greeting fajra
2024-04-25 12:11:12.994 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarting |  | Starting SimpleSpringLoggingApplication using Java 17.0.11 with PID 30281 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-logging/target/classes started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-04-25 12:11:12.995 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-25 12:11:13.452 | simple-spring-logging | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-04-25 12:11:13.456 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarted |  | Started SimpleSpringLoggingApplication in 0.623 seconds (process running for 0.993)
2024-04-25 12:11:28.821 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | f8e0afa9-3cee-43fb-8ad7-99fb91bd9dc2 | greeting fajra
2024-04-25 12:11:28.822 | simple-spring-logging | t.it.simplespringlogging.domain.services.GreetingServiceImpl | doGreeting | f8e0afa9-3cee-43fb-8ad7-99fb91bd9dc2 | greeting fajra
2024-04-25 12:11:28.822 | simple-spring-logging | t.it.simplespringlogging.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | f8e0afa9-3cee-43fb-8ad7-99fb91bd9dc2 | greeting fajra
