2024-04-26 10:02:27.855 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplicationTests | logStarting |  | Starting SimpleSpringLoggingApplicationTests using Java 22.0.1 with PID 2729 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-logging)
2024-04-26 10:02:27.865 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-26 10:02:28.302 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplicationTests | logStarted |  | Started SimpleSpringLoggingApplicationTests in 0.756 seconds (process running for 1.167)
2024-04-26 10:02:28.687 | simple-spring-logging | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | detectDefaultConfigurationClasses |  | Could not detect default configuration classes for test class [t.it.simplespringlogging.application.controllers.GreetingControllerTest]: GreetingControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-04-26 10:02:28.697 | simple-spring-logging | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | getOrFindConfigurationClasses |  | Found @SpringBootConfiguration t.it.simplespringlogging.SimpleSpringLoggingApplication for test class t.it.simplespringlogging.application.controllers.GreetingControllerTest
2024-04-26 10:02:28.709 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingControllerTest | logStarting |  | Starting GreetingControllerTest using Java 22.0.1 with PID 2729 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-logging)
2024-04-26 10:02:28.709 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingControllerTest | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-26 10:02:28.854 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingControllerTest | logStarted |  | Started GreetingControllerTest in 0.155 seconds (process running for 1.719)
2024-04-26 10:02:28.915 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | 75303895-fd90-4436-b3a6-355f30e983fa | greeting test
2024-04-26 10:02:28.924 | simple-spring-logging | org.springframework.boot.autoconfigure.web.reactive.error.AbstractErrorWebExceptionHandler | error | 75303895-fd90-4436-b3a6-355f30e983fa | [198172aa]  500 Server Error for HTTP GET "/greeting/test"
java.lang.RuntimeException: null
2024-04-26 10:02:28.953 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | 4112a448-8951-47c6-9eaa-0c07a3cf4cfb | greeting test
2024-04-26 10:02:28.983 | simple-spring-logging | t.it.simplespringlogging.infrastructure.repositories.GreetingRepositoryImpl | getGreeting |  | greeting test
2024-04-26 10:02:29.016 | simple-spring-logging | t.it.simplespringlogging.domain.services.GreetingServiceImpl | doGreeting |  | greeting test
2024-04-26 10:26:38.264 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplicationTests | logStarting |  | Starting SimpleSpringLoggingApplicationTests using Java 22.0.1 with PID 3381 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-logging)
2024-04-26 10:26:38.266 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-26 10:26:38.670 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplicationTests | logStarted |  | Started SimpleSpringLoggingApplicationTests in 0.533 seconds (process running for 0.868)
2024-04-26 10:26:39.049 | simple-spring-logging | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | detectDefaultConfigurationClasses |  | Could not detect default configuration classes for test class [t.it.simplespringlogging.application.controllers.GreetingControllerTest]: GreetingControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-04-26 10:26:39.060 | simple-spring-logging | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | getOrFindConfigurationClasses |  | Found @SpringBootConfiguration t.it.simplespringlogging.SimpleSpringLoggingApplication for test class t.it.simplespringlogging.application.controllers.GreetingControllerTest
2024-04-26 10:26:39.074 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingControllerTest | logStarting |  | Starting GreetingControllerTest using Java 22.0.1 with PID 3381 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-logging)
2024-04-26 10:26:39.075 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingControllerTest | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-26 10:26:39.251 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingControllerTest | logStarted |  | Started GreetingControllerTest in 0.189 seconds (process running for 1.449)
2024-04-26 10:26:39.315 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | eb78c435-e842-4d57-a485-67deafa0d068 | greeting test
2024-04-26 10:26:39.324 | simple-spring-logging | org.springframework.boot.autoconfigure.web.reactive.error.AbstractErrorWebExceptionHandler | error | eb78c435-e842-4d57-a485-67deafa0d068 | [461b65c]  500 Server Error for HTTP GET "/greeting/test"
java.lang.RuntimeException: null
2024-04-26 10:26:39.355 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | c2797b11-8188-4e84-86d3-a6995a07441e | greeting test
2024-04-26 10:26:39.385 | simple-spring-logging | t.it.simplespringlogging.infrastructure.repositories.GreetingRepositoryImpl | getGreeting |  | greeting test
2024-04-26 10:26:39.418 | simple-spring-logging | t.it.simplespringlogging.domain.services.GreetingServiceImpl | doGreeting |  | greeting test
