2024-05-29 09:31:40.313 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 17.0.11 with PID 17272 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/classes started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 09:31:40.314 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 09:31:40.805 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 09:31:40.810 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 1.709 seconds (process running for 1.975)
2024-05-29 09:32:00.915 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 4c237d5f-abdc-4f38-8ce1-89d0a07c4573 | greeting fajra
2024-05-29 09:32:00.917 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 4c237d5f-abdc-4f38-8ce1-89d0a07c4573 | greeting fajra
2024-05-29 09:32:00.917 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 4c237d5f-abdc-4f38-8ce1-89d0a07c4573 | greeting fajra
2024-05-29 10:24:21.291 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 17.0.11 with PID 20307 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/classes started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:24:21.292 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:24:21.777 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 10:24:21.782 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 1.704 seconds (process running for 2.042)
2024-05-29 10:26:56.067 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 17.0.11 with PID 20859 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/classes started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:26:56.068 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:26:56.570 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 10:26:56.574 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 1.717 seconds (process running for 2.079)
2024-05-29 10:47:19.931 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 17.0.11 with PID 21660 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/classes started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:47:19.936 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:47:20.431 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 10:47:20.435 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 1.705 seconds (process running for 2.059)
2024-05-29 10:49:19.746 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 22228 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:49:19.760 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:49:20.661 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 10:49:20.666 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.261 seconds (process running for 3.449)
2024-05-29 10:51:12.579 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 22614 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:51:12.590 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:51:13.476 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 10:51:13.481 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.252 seconds (process running for 3.42)
2024-05-29 10:51:36.348 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 21898607-ac9b-45d4-a2f7-ce689c38ff6d | greeting fajra
2024-05-29 10:51:36.350 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 21898607-ac9b-45d4-a2f7-ce689c38ff6d | greeting fajra
2024-05-29 10:51:36.351 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 21898607-ac9b-45d4-a2f7-ce689c38ff6d | greeting fajra
2024-05-29 10:53:39.603 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarting |  | Starting SimpleSpringMonitoringApplication using Java 22.0.1 with PID 22661 (/Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring/target/simple-spring-monitoring-0.0.1-SNAPSHOT.jar started by cisnux in /Users/cisnux/intern-projects/boilerplate-java)
2024-05-29 10:53:39.612 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:53:40.488 | simple-spring-monitoring | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-05-29 10:53:40.492 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplication | logStarted |  | Started SimpleSpringMonitoringApplication in 2.233 seconds (process running for 3.499)
2024-05-29 10:53:52.003 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 7c831d92-36da-4508-9da2-e4985533f50d | greeting fajra
2024-05-29 10:53:52.004 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 7c831d92-36da-4508-9da2-e4985533f50d | greeting fajra
2024-05-29 10:53:52.004 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 7c831d92-36da-4508-9da2-e4985533f50d | greeting fajra
2024-05-29 10:54:16.881 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 1bb6615c-3998-4947-a7eb-c39cb9b514b6 | greeting fajra
2024-05-29 10:54:16.884 | simple-spring-monitoring | t.it.simplespringmonitoring.domain.services.GreetingServiceImpl | doGreeting | 1bb6615c-3998-4947-a7eb-c39cb9b514b6 | greeting fajra
2024-05-29 10:54:16.885 | simple-spring-monitoring | t.it.simplespringmonitoring.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 1bb6615c-3998-4947-a7eb-c39cb9b514b6 | greeting fajra
2024-05-29 10:55:49.539 | simple-spring-monitoring | t.it.simplespringmonitoring.application.controllers.GreetingController | greeting | 834b4172-2429-4ac4-9f49-8ee95aabb98a | greeting fajra
