2024-05-29 10:16:13.816 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 19251 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 10:16:13.824 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:16:14.416 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 1.81 seconds (process running for 2.18)
2024-05-29 10:47:51.592 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 21852 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 10:47:51.593 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:47:52.030 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 1.619 seconds (process running for 1.969)
2024-05-29 10:48:46.695 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 22035 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 10:48:46.696 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:48:47.109 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 1.606 seconds (process running for 1.97)
2024-05-29 10:49:12.441 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 22216 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 10:49:12.442 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:49:12.826 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 1.556 seconds (process running for 1.892)
2024-05-29 10:50:39.255 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 22430 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 10:50:39.256 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:50:39.649 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 1.572 seconds (process running for 1.907)
2024-05-29 10:51:03.267 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 22585 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 10:51:03.268 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:51:03.666 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 1.579 seconds (process running for 1.916)
2024-05-29 10:58:39.097 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 22904 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 10:58:39.098 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 10:58:39.489 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 1.572 seconds (process running for 1.909)
2024-05-29 11:49:05.141 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 23714 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 11:49:05.142 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 11:49:05.841 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 11:49:06.020 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 2.079 seconds (process running for 2.443)
2024-05-29 12:42:14.561 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 26242 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 12:42:14.564 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 12:42:15.417 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 12:42:15.681 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 2.359 seconds (process running for 2.887)
2024-05-29 12:53:21.434 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarting |  | Starting SimpleSpringMonitoringApplicationTests using Java 22.0.1 with PID 27159 (started by cisnux in /Users/cisnux/intern-projects/boilerplate-java/simple-spring-monitoring)
2024-05-29 12:53:21.436 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-05-29 12:53:22.280 | simple-spring-monitoring | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | <init> |  | Exposing 0 endpoint(s) beneath base path '/actuator'
2024-05-29 12:53:22.545 | simple-spring-monitoring | t.it.simplespringmonitoring.SimpleSpringMonitoringApplicationTests | logStarted |  | Started SimpleSpringMonitoringApplicationTests in 2.363 seconds (process running for 2.981)
