2024-04-20 15:20:12.194 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarting |  | Starting SimpleSpringLoggingApplication using Java 22 with PID 17793 (/Users/fajrarisqulla/boilerplate-java/boiler-plates/simple-spring-logging/target/classes started by fajrarisqulla in /Users/fajrarisqulla/boilerplate-java/boiler-plates)
2024-04-20 15:20:12.195 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-20 15:20:12.989 | simple-spring-logging | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-04-20 15:20:12.995 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarted |  | Started SimpleSpringLoggingApplication in 1.103 seconds (process running for 1.696)
2024-04-20 15:20:26.794 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | eec5b8f5-267d-452e-8223-92a598169a21 | greeting fajra
2024-04-20 15:20:26.795 | simple-spring-logging | t.it.simplespringlogging.domain.services.GreetingServiceImpl | doGreeting | eec5b8f5-267d-452e-8223-92a598169a21 | greeting fajra
2024-04-20 15:20:26.795 | simple-spring-logging | t.it.simplespringlogging.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | eec5b8f5-267d-452e-8223-92a598169a21 | greeting fajra
2024-04-20 15:20:45.164 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarting |  | Starting SimpleSpringLoggingApplication using Java 22 with PID 17854 (/Users/fajrarisqulla/boilerplate-java/boiler-plates/simple-spring-logging/target/classes started by fajrarisqulla in /Users/fajrarisqulla/boilerplate-java/boiler-plates)
2024-04-20 15:20:45.166 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStartupProfileInfo |  | No active profile set, falling back to 1 default profile: "default"
2024-04-20 15:20:45.945 | simple-spring-logging | org.springframework.boot.web.embedded.netty.NettyWebServer | start |  | Netty started on port 8080
2024-04-20 15:20:45.951 | simple-spring-logging | t.it.simplespringlogging.SimpleSpringLoggingApplication | logStarted |  | Started SimpleSpringLoggingApplication in 1.089 seconds (process running for 1.583)
2024-04-20 15:20:51.727 | simple-spring-logging | t.it.simplespringlogging.application.controllers.GreetingController | greeting | 5f7ec8f1-c072-4cc5-b81c-fa8a9cb63d83 | greeting fajra
2024-04-20 15:20:51.728 | simple-spring-logging | t.it.simplespringlogging.domain.services.GreetingServiceImpl | doGreeting | 5f7ec8f1-c072-4cc5-b81c-fa8a9cb63d83 | greeting fajra
2024-04-20 15:20:51.729 | simple-spring-logging | t.it.simplespringlogging.infrastructure.repositories.GreetingRepositoryImpl | getGreeting | 5f7ec8f1-c072-4cc5-b81c-fa8a9cb63d83 | greeting fajra
